file,start,end
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/427/4802b70d-e180-449e-b0ae-3f2baba7cb32.wav,0 days,0 days 00:00:03.413312500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/427/58c5c074-9332-46ca-9eb0-8cdb90815e66.wav,0 days,0 days 00:00:08.192000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/427/d4adaf17-d052-42e3-ab41-0c781e840fa9.wav,0 days,0 days 00:00:10.922687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/427/eb44f3b4-78e7-4323-88fb-95d502fb44f1.wav,0 days,0 days 00:00:03.072000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/474/017b25f6-aac5-462b-9728-3dea673d3a00.wav,0 days,0 days 00:00:15.018687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/474/bb41379f-5ac2-4479-b80a-5e6124f48819.wav,0 days,0 days 00:00:10.240000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/474/f6e2c6da-11f9-45fc-ac49-b0fc11595d2f.wav,0 days,0 days 00:00:02.730687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/477/7c2c97a6-0025-404e-8b1e-f7889f4641f4.wav,0 days,0 days 00:00:12.288000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/477/e1ef6c5c-18e5-4a5b-a9d2-25764e6135d1.wav,0 days,0 days 00:00:03.072000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/477/e558dfe0-24ea-4a81-8393-563090651ddd.wav,0 days,0 days 00:00:10.581312500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/491/471c062a-eea8-4cd7-80a3-2c462d7177be.wav,0 days,0 days 00:00:03.072000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/491/8543ae65-1950-482c-8474-ee5082c870d0.wav,0 days,0 days 00:00:10.922687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/491/cfd6f069-fc3a-4c3a-a70c-9f9bcd778d2e.wav,0 days,0 days 00:00:13.994687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/491/df896612-2ee0-4f20-87cd-2e732ed87441.wav,0 days,0 days 00:00:02.730687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/308/50d1f370-d72f-4123-8c9b-e5a6dee9b28d.wav,0 days,0 days 00:00:16.042687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/308/5b08cbab-1aff-4be3-ba09-de9b64ad9a66.wav,0 days,0 days 00:00:05.120000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/308/8d833d71-bda0-497c-b5f5-833c6c447970.wav,0 days,0 days 00:00:05.120000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/309/56f7c973-e8c2-4044-a896-c8a40521258f.wav,0 days,0 days 00:00:29.696000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/309/5b343eef-54a2-4d0e-a443-59ef6a9c8822.wav,0 days,0 days 00:00:04.778687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/309/6f46514e-4e4b-4f52-bcb0-9770157dfe31.wav,0 days,0 days 00:00:04.778687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/309/defbeff7-5d3e-4e7f-b839-7ca4e65f7b18.wav,0 days,0 days 00:00:13.653312500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/347/09e7f6a4-bd60-4e57-b7e1-35504fffa327.wav,0 days,0 days 00:00:25.941312500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/347/14c57652-e72d-4dd0-9aec-a9e76781d7f8.wav,0 days,0 days 00:00:04.778687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/347/84d6faf3-9845-4b56-9631-40be41b309fb.wav,0 days,0 days 00:00:14.336000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/347/c60c66d2-59d4-49f9-81dc-22bed256b4f8.wav,0 days,0 days 00:00:13.653312500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/347/ca58e3ab-6fef-4877-9c95-1c0b4d3074a0.wav,0 days,0 days 00:00:06.144000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/370/20485d51-87cb-404e-be1d-c1b49c5ea368.wav,0 days,0 days 00:00:05.802687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/370/3739e23b-7c55-4747-96ca-2811e8bbf9d6.wav,0 days,0 days 00:00:05.802687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/370/99fbf36a-7e34-4aa0-904d-1b3b5b4d6b59.wav,0 days,0 days 00:00:14.336000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/370/fb6f0d9e-7346-4121-bdd3-e1cf090a9dd8.wav,0 days,0 days 00:00:15.360000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/379/0636ec7d-adce-464c-9c4d-b59107beb99b.wav,0 days,0 days 00:00:11.946687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/379/5b6d94bd-4c5b-422d-9e37-f9adb85d1d14.wav,0 days,0 days 00:00:05.120000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/379/70b11d60-3e00-470b-8cd7-e2ebbe61e159.wav,0 days,0 days 00:00:34.474687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/379/a973edb7-4563-440f-8008-2280151d8746.wav,0 days,0 days 00:00:05.461312500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/390/0c101cde-b4c8-420b-9913-55b79ef16da8.wav,0 days,0 days 00:00:11.264000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/390/2e11545d-8b20-474e-93b3-ae58d085db44.wav,0 days,0 days 00:00:05.120000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/390/5633dd48-2f50-4f07-b459-fa8e680cdece.wav,0 days,0 days 00:00:13.994687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/390/9a6d62ba-bff5-4e38-a365-9cf175c917c3.wav,0 days,0 days 00:00:05.120000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/400/7642213a-540c-46df-baff-ed2778c23999.wav,0 days,0 days 00:00:04.778687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/400/b9537e39-d92a-4356-90f6-9af7c254e79a.wav,0 days,0 days 00:00:04.437312500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/400/e616b381-a066-45b7-89b5-9e7ae96da9de.wav,0 days,0 days 00:00:13.994687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/400/eb299d7d-72d7-40fa-b926-d742d9d58ff0.wav,0 days,0 days 00:00:11.264000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/400/fee22cd1-e7e6-4158-ae05-79d34be512dc.wav,0 days,0 days 00:00:23.210687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/435/2321457a-7e8a-4fc2-9d10-35cc2ca2ada3.wav,0 days,0 days 00:00:29.013312500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/435/3298006f-a185-4567-b8d6-2494b2577c75.wav,0 days,0 days 00:00:04.778687500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/435/aba5fcfd-0bb6-493e-928d-7dcb55b61c48.wav,0 days,0 days 00:00:05.120000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/435/b09826c8-c0e2-4f00-acbd-83a58cfb6896.wav,0 days,0 days 00:00:13.653312500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/435/c1db1e1d-14b2-4f5f-bba3-7c8657c5f1ad.wav,0 days,0 days 00:00:11.605312500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/463/0ec73205-cf8f-4c3d-a551-ba2f4354184e.wav,0 days,0 days 00:00:14.336000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/463/25f1a20d-0ca5-4c65-a02a-71b395009d31.wav,0 days,0 days 00:00:35.840000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/463/358e377e-5654-4b89-b729-133d3cb6025e.wav,0 days,0 days 00:00:15.701312500
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/463/9bb6e09b-a29c-4c38-8ee3-63a7aa9c6223.wav,0 days,0 days 00:00:05.120000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/463/e1543fd4-c1fe-4a9d-881a-2c5d9a64f778.wav,0 days,0 days 00:00:05.120000
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/12202a-d248e15/493/064b5643-6026-42f7-80ad-669e429d8aff.wav,0 days,0 days 00:00:05.120000
